,HeightÂ (in),WeightÂ (lbs),Hand SizeÂ (in),Arm LengthÂ (in),Wonderlic,40Â Yard,Vert LeapÂ (in),Broad JumpÂ (in),Shuttle,3Cone,
Combine Averages Top,74.96833333,220.8333333,9.539565217,32.09666667,26.35294118,4.765217391,32.625,112.7,4.317826087,7.116111111,
Combine Averages Bottom,75.77909091,225.9090909,9.579,32.10529412,30,4.853636364,31.02272727,109.5454545,4.3315,7.13,
Difference,-0.810757576,-5.075757576,-0.039434783,-0.008627451,-3.647058824,-0.088418972,1.602272727,3.154545455,-0.013673913,-0.013888889,
Percentage Change,-0.010814667,-0.022984563,-0.004133813,-0.000268796,-0.138392857,-0.018555076,0.049111808,0.027990643,-0.003166851,-0.001951753,Total
,0.010814667,0.022984563,0.004133813,0.000268796,0.138392857,0.018555076,0.049111808,0.027990643,0.003166851,0.001951753,0.277370827
Weights,0.038989923,0.082865826,0.014903562,0.000969085,0.498945252,0.066896279,0.177061908,0.100914156,0.011417391,0.007036618,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,  ,,,,,
