Category,Overall Avg.,Top 25 Avg.,Bottom 25 Avg.,Pct. Change(%),Weighted Pct.
Height (in),73.79181818181819,73.5976,74.116,0.7018988095882841,1.2022322785631705
Weight (lb),238.36206896551724,240.32,232.96,3.110209601081806,5.327255616391406
Hand Size (in),9.503399638336347,9.6516,9.4216,2.4117610049703293,4.130932961769876
Arm Length (in),32.241508379888266,32.5568,32.2108,1.0684354522940596,1.8300466830291648
40 Yard,4.728852739726028,4.6664,4.854,3.9410108818957137,6.75027572017529
Bench Press,21.495256166982923,21.92,18.0,19.63927855711424,33.638715846955
Vertical Leap (in),33.65188679245283,34.56,31.12,10.475030450669918,17.941930595543347
Broad Jump (in),115.58901515151516,117.0,110.64,5.58777016341592,9.570891934681166
Shuttle,4.296757894736842,4.2212,4.446,5.187373084733251,8.885080410770673
3 Cone Drill,7.193533333333333,7.154,7.2844,1.8062943262411326,3.0938723843489635
60 Yard Shuttle,11.7784,11.582,12.1096,4.4538992723159225,7.628765567771945
